AreaCode,AreaName,StartDate,EndDate,LegislationRef,GuidanceRef
E07000129,Blaby,2020-07-04,2020-07-18,,https://www.gov.uk/guidance/leicester-lockdown-what-you-can-and-cannot-do
E07000130,Charnwood,2020-07-04,2020-07-18,,https://www.gov.uk/guidance/leicester-lockdown-what-you-can-and-cannot-do
E07000135,Oadby and Wigston,2020-07-04,2020-08-01,https://www.legislation.gov.uk/uksi/2020/685,https://www.gov.uk/guidance/leicester-lockdown-what-you-can-and-cannot-do
E06000008,Blackburn with Darwen,2020-07-25,2020-08-01,https://www.legislation.gov.uk/uksi/2020/800,https://www.gov.uk/guidance/north-west-england-local-restrictions
E06000032,Luton,2020-07-25,2020-08-01,https://www.legislation.gov.uk/uksi/2020/800,https://www.gov.uk/guidance/luton-local-restrictions
E06000016,Leicester,2020-07-04,2020-08-03,https://www.legislation.gov.uk/uksi/2020/685,https://www.gov.uk/guidance/leicester-lockdown-what-you-can-and-cannot-do
E08000001,Bolton,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/bolton-local-restrictions
E07000117,Burnley,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
E08000002,Bury,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E08000033,Calderdale,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E07000120,Hyndburn,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
E08000034,Kirklees,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E08000003,Manchester,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E08000004,Oldham,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E07000122,Pendle,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/north-west-england-local-restrictions
E08000005,Rochdale,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E07000125,Rossendale,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/north-west-england-local-restrictions
E08000006,Salford,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E08000007,Stockport,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
E08000008,Tameside,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E08000009,Trafford,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/greater-manchester-local-restrictions
E08000010,Wigan,2020-07-31,2020-08-05,,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
S12000033,Aberdeen City,2020-08-05,2020-08-24,https://www.legislation.gov.uk/ssi/2020/234,
E06000008,Blackburn with Darwen,2020-08-01,2020-08-26,https://www.legislation.gov.uk/uksi/2020/822,https://www.gov.uk/guidance/north-west-england-local-restrictions
E08000032,Bradford,2020-08-01,2020-08-26,https://www.legislation.gov.uk/uksi/2020/822,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E07000154,Northampton,2020-08-23,2020-08-29,,https://www.gov.uk/guidance/northampton-what-you-can-and-cannot-do
E07000117,Burnley,2020-08-05,2020-09-02,https://www.legislation.gov.uk/uksi/2020/931,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
E07000120,Hyndburn,2020-08-05,2020-09-02,https://www.legislation.gov.uk/uksi/2020/931,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
E08000007,Stockport,2020-08-05,2020-09-02,https://www.legislation.gov.uk/uksi/2020/931,https://www.gov.uk/guidance/north-west-of-england-local-restrictions-what-you-can-and-cannot-do
E08000032,Bradford,2020-08-26,2020-09-02,https://www.legislation.gov.uk/uksi/2020/898,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E06000016,Leicester,2020-08-03,2020-09-08,https://www.legislation.gov.uk/uksi/2020/824,https://www.gov.uk/guidance/leicester-lockdown-what-you-can-and-cannot-do
E06000008,Blackburn with Darwen,2020-08-26,2020-09-08,https://www.legislation.gov.uk/uksi/2020/898,https://www.gov.uk/guidance/north-west-england-local-restrictions
E08000032,Bradford,2020-09-02,2020-09-08,https://www.legislation.gov.uk/uksi/2020/930,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E08000001,Bolton,2020-08-05,2020-09-10,https://www.legislation.gov.uk/uksi/2020/828,https://www.gov.uk/guidance/bolton-local-restrictions
E06000016,Leicester,2020-09-08,2020-09-15,https://www.legislation.gov.uk/uksi/2020/954,https://www.gov.uk/guidance/leicester-lockdown-what-you-can-and-cannot-do
E08000025,Birmingham,2020-09-11,2020-09-15,,https://www.gov.uk/guidance/birmingham-sandwell-and-solihull-local-restrictions
E08000028,Sandwell,2020-09-11,2020-09-15,,https://www.gov.uk/guidance/birmingham-sandwell-and-solihull-local-restrictions
E08000029,Solihull,2020-09-11,2020-09-15,,https://www.gov.uk/guidance/birmingham-sandwell-and-solihull-local-restrictions
E08000033,Calderdale,2020-08-05,2020-09-22,https://www.legislation.gov.uk/uksi/2020/828,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E08000034,Kirklees,2020-08-05,2020-09-22,https://www.legislation.gov.uk/uksi/2020/828,https://www.gov.uk/guidance/west-yorkshire-local-restrictions
E07000122,Pendle,2020-08-05,2020-09-22,https://www.legislation.gov.uk/uksi/2020/828,https://www.gov.uk/guidance/north-west-england-local-restrictions
E07000125,Rossendale,2020-08-05,2020-09-22,https://www.legislation.gov.uk/uksi/2020/828,https://www.gov.uk/guidance/north-west-england-local-restrictions
