Date,EnquiryType,Postcode sector,Ward Lookup or Given,What assistance do you require?,How urgent is your need?,,,,,,,
20/08/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,1st Request - Assistance Required,LS4 2,Kirkstall,"Food parcel|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,1st Request - Assistance Required,LS13 2,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,2nd Request - Assistance required,LS6 2,Headingley & Hyde Park,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,2nd Request - Assistance required,LS6 1,Little London & Woodhouse,,,,,,,,,
20/08/2020 00:00,2nd Request - Assistance required,LS8 1,Roundhay,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,2nd Request - Assistance required,LS8 5,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,3rd Request - Assistance Required,LS16 8,Adel & Wharfedale,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,3rd Request - Assistance Required,LS17 7,Alwoodley,Food parcel|Fuel top up (pre-payment meter only|Baby products,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,3rd Request - Assistance Required,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,4th Request - Assistance Required,LS27 7,Morley North,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS6 2,Headingley & Hyde Park,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS12 2,Armley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS11 0,Beeston & Holbeck,Food parcel|Baby products,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS12 2,Armley,,,,,,,,,
