,Week,Leeds Warehouse from Beeston,Leeds Warehouse from Barnsley,Leeds TSOs from Beeston,Total to Leeds Warehouse,Total to Leeds,Total From Beeston to TSOs and Whouse
,,,,,,,
,Tonnes,,,,,,
,,,,0,0,0,
,,,,0,0,0,
,,,,0,0,0,
2 weekly data,29/7-11/8,5.03,18.73,15.94,23.76,39.7,20.97
2 weekly data,15/7-27/7,12.84,16.56,27.01,29.4,56.41,39.85
weekly,8/07-14/7,4.11,4.63,9.48,8.74,18.22,13.59
weekly,1/07-7/07,8.48,8.03,15.45,16.51,31.96,23.93
weekly,24/06-30/6,15.14,5.19,12.23,20.33,32.56,27.37
weekly,17/6-23/6,11.5,5.1,16.09,16.6,32.69,27.59
weekly,10/6 - 16/6,8.21,4.46,8.64,12.67,21.31,16.85
weekly,03/06 - 09/06,12.52,4.79,9.01,17.31,26.32,21.53
weekly,27/05 - 02/06,8.28,3.95,19.24,12.23,31.47,27.52
weekly,20/05 - 26/05,24.61,4.1,6.97,28.71,35.68,31.58
weekly,13/05 - 19/05,10.83,10.19,11.29,21.02,32.31,22.12
weekly,06/05-12/05,7.02,2.76,6.3,9.78,16.08,13.32
weekly,29/04 - 05/05,11.51,4.18,6.42,15.69,22.11,17.93
weekly,22/04-28/04,14.64,2.2,6.54,16.84,23.38,21.18
weekly,16/04-22/04,4.77,1.56,7.21,6.33,13.54,11.98
weekly,6/04-15/04,9.59,5.67,4.16,15.26,19.42,13.75
weekly,30/3-5/04,8.78,4.01,9.41,12.79,22.2,18.19
weekly,23/3-29/03,0,0,4.56,0,4.56,4.56
weekly,16/03 – 22/03,0,0,4.11,0,4.11,4.11
weekly,09/03-15/03,0,0,6.81,0,6.81,6.81
