areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-09-07,0,302175
nation,England,E92000001,2020-09-06,16,302175
nation,England,E92000001,2020-09-05,1149,302159
nation,England,E92000001,2020-09-04,1915,301010
nation,England,E92000001,2020-09-03,1888,299095
nation,England,E92000001,2020-09-02,2213,297207
nation,England,E92000001,2020-09-01,1852,294994
nation,England,E92000001,2020-08-31,1117,293142
nation,England,E92000001,2020-08-30,954,292025
nation,England,E92000001,2020-08-29,1036,291071
nation,England,E92000001,2020-08-28,1369,290035
nation,England,E92000001,2020-08-27,1323,288666
nation,England,E92000001,2020-08-26,1134,287343
nation,England,E92000001,2020-08-25,1056,286209
nation,England,E92000001,2020-08-24,1077,285153
nation,England,E92000001,2020-08-23,678,284076
nation,England,E92000001,2020-08-22,713,283398
nation,England,E92000001,2020-08-21,999,282685
nation,England,E92000001,2020-08-20,1217,281686
nation,England,E92000001,2020-08-19,1075,280469
nation,England,E92000001,2020-08-18,923,279394
nation,England,E92000001,2020-08-17,1136,278471
nation,England,E92000001,2020-08-16,528,277335
nation,England,E92000001,2020-08-15,645,276807
nation,England,E92000001,2020-08-14,1043,276162
nation,England,E92000001,2020-08-13,1020,275119
nation,England,E92000001,2020-08-12,1084,274099
nation,England,E92000001,2020-08-11,1212,273015
nation,England,E92000001,2020-08-10,1352,271803
nation,England,E92000001,2020-08-09,556,270451
nation,England,E92000001,2020-08-08,638,269895
nation,England,E92000001,2020-08-07,857,269257
nation,England,E92000001,2020-08-06,977,268400
nation,England,E92000001,2020-08-05,942,267423
nation,England,E92000001,2020-08-04,920,266481
nation,England,E92000001,2020-08-03,940,265561
nation,England,E92000001,2020-08-02,512,264621
nation,England,E92000001,2020-08-01,494,264109
nation,England,E92000001,2020-07-31,622,263615
nation,England,E92000001,2020-07-30,855,262993
nation,England,E92000001,2020-07-29,970,262138
nation,England,E92000001,2020-07-28,780,261168
nation,England,E92000001,2020-07-27,809,260388
nation,England,E92000001,2020-07-26,517,259579
nation,England,E92000001,2020-07-25,490,259062
nation,England,E92000001,2020-07-24,714,258572
nation,England,E92000001,2020-07-23,735,257858
nation,England,E92000001,2020-07-22,748,257123
nation,England,E92000001,2020-07-21,690,256375
nation,England,E92000001,2020-07-20,754,255685
nation,England,E92000001,2020-07-19,414,254931
nation,England,E92000001,2020-07-18,467,254517
nation,England,E92000001,2020-07-17,548,254050
nation,England,E92000001,2020-07-16,641,253502
nation,England,E92000001,2020-07-15,722,252861
nation,England,E92000001,2020-07-14,651,252139
nation,England,E92000001,2020-07-13,689,251488
nation,England,E92000001,2020-07-12,352,250799
nation,England,E92000001,2020-07-11,420,250447
nation,England,E92000001,2020-07-10,521,250027
nation,England,E92000001,2020-07-09,686,249506
nation,England,E92000001,2020-07-08,673,248820
nation,England,E92000001,2020-07-07,557,248147
nation,England,E92000001,2020-07-06,655,247590
nation,England,E92000001,2020-07-05,539,246935
nation,England,E92000001,2020-07-04,388,246396
nation,England,E92000001,2020-07-03,541,246008
nation,England,E92000001,2020-07-02,560,245467
nation,England,E92000001,2020-07-01,611,244907
nation,England,E92000001,2020-06-30,571,244296
nation,England,E92000001,2020-06-29,668,243725
nation,England,E92000001,2020-06-28,411,243057
nation,England,E92000001,2020-06-27,504,242646
nation,England,E92000001,2020-06-26,645,242142
nation,England,E92000001,2020-06-25,637,241497
nation,England,E92000001,2020-06-24,730,240860
nation,England,E92000001,2020-06-23,727,240130
nation,England,E92000001,2020-06-22,816,239403
nation,England,E92000001,2020-06-21,550,238587
nation,England,E92000001,2020-06-20,628,238037
nation,England,E92000001,2020-06-19,815,237409
nation,England,E92000001,2020-06-18,944,236594
nation,England,E92000001,2020-06-17,911,235650
nation,England,E92000001,2020-06-16,993,234739
nation,England,E92000001,2020-06-15,937,233746
nation,England,E92000001,2020-06-14,746,232809
nation,England,E92000001,2020-06-13,788,232063
nation,England,E92000001,2020-06-12,937,231275
nation,England,E92000001,2020-06-11,917,230338
nation,England,E92000001,2020-06-10,1085,229421
nation,England,E92000001,2020-06-09,1055,228336
nation,England,E92000001,2020-06-08,990,227281
nation,England,E92000001,2020-06-07,665,226291
nation,England,E92000001,2020-06-06,721,225626
nation,England,E92000001,2020-06-05,1022,224905
nation,England,E92000001,2020-06-04,1143,223883
nation,England,E92000001,2020-06-03,1244,222740
nation,England,E92000001,2020-06-02,1356,221496
nation,England,E92000001,2020-06-01,1309,220140
nation,England,E92000001,2020-05-31,985,218831
nation,England,E92000001,2020-05-30,997,217846
